"","st_fips","cty_fips","pop","mcare_elig","unemp","pct_pov","uninsured","median_inc","mcare_enroll","year"
"1",1,1,55267,8767,8,14.9,13.9,48863,6311,2011
"2",1,3,186717,37485,8.1,13.4,16.6,50144,30768,2011
"3",1,5,27119,5651,11.4,29.5,18.9,30117,3653,2011
"4",1,7,22766,4324,9.9,22.2,16,37347,2952,2011
"5",1,9,57677,10447,8.3,14.9,18.1,41940,6513,2011
"6",1,11,10542,1742,15.3,32.8,15.7,26038,1119,2011
"7",1,13,20650,4450,11.6,24.1,16.4,30489,3136,2011
"8",1,15,117797,24180,9.2,20.9,16.9,39060,18334,2011
"9",1,17,33939,8053,11.4,23.7,17.9,33500,5751,2011
"10",1,19,26057,6010,8.7,23.8,17.2,34738,3787,2011
"11",1,21,43895,7857,8.6,18.3,20.2,38833,5304,2011
"12",1,23,13609,3576,11.4,27.3,17.6,32940,2381,2011
"13",1,25,25695,5661,15.2,26.3,18.4,32642,4321,2011
"14",1,27,13862,3263,11.8,18.7,19.2,32454,2278,2011
"15",1,29,14835,3140,8.3,17.2,16.7,39153,2248,2011
"16",1,31,50526,9029,7.1,16.9,17.3,42173,6817,2011
"17",1,33,54512,12600,9,18.7,15,37269,9075,2011
"18",1,35,13105,3290,14.8,27.9,19,26914,2179,2011
"19",1,37,10713,2241,10.6,25.5,16.1,34391,1702,2011
"20",1,39,38058,8897,8.9,24.2,17.7,32138,6958,2011
"21",1,41,13911,3135,8.7,18.2,19.2,34534,2301,2011
"22",1,43,80536,16786,8.1,18.2,17.9,39395,12941,2011
"23",1,45,50044,8935,8.3,18.8,15.6,41568,8122,2011
"24",1,47,43332,9096,16.2,35.7,15.9,25859,6740,2011
"25",1,49,71375,13535,11.2,20.3,23.3,35487,9559,2011
"26",1,51,80162,13499,8.3,13.8,14,54866,10375,2011
"27",1,53,38095,7868,10.5,25.5,19.3,32838,5636,2011
"28",1,55,104303,22745,9.1,21,16.9,34927,16189,2011
"29",1,57,17182,4508,10.4,22.5,15.9,32648,2608,2011
"30",1,59,31884,6308,9.4,19.9,21,33705,4934,2011
"31",1,61,26781,6190,8.3,24.4,18.4,33835,4631,2011
"32",1,63,8921,2015,14.2,35.1,17.7,24738,1293,2011
"33",1,65,15421,3533,12,28.5,19.1,31044,2590,2011
"34",1,67,17412,3988,8.4,18.7,17.4,39788,2894,2011
"35",1,69,102369,19783,8.1,17.5,16.2,40428,13789,2011
"36",1,71,53291,11487,8.7,17.9,18.4,36746,9212,2011
"37",1,73,658931,114192,8.7,18.7,15.1,42053,95318,2011
"38",1,75,14311,3636,9.9,22.1,16.8,34731,2789,2011
"39",1,77,92781,19179,8.3,16.4,15.2,40195,15289,2011
"40",1,79,34117,6931,10.1,18,17.7,38132,4062,2011
"41",1,81,143468,17048,7.4,21.4,16.8,42539,11868,2011
"42",1,83,85369,13522,7.6,13.9,16.4,46760,9265,2011
"43",1,85,11147,2446,16.6,27.1,17.4,28043,1434,2011
"44",1,87,21182,4119,12.5,30.9,15.7,27591,3129,2011
"45",1,89,340111,50319,7.6,13.8,15,55298,42738,2011
"46",1,91,20692,4938,11.8,24.6,17.6,31995,2884,2011
"47",1,93,30663,6633,11.3,25.6,17.3,30926,4932,2011
"48",1,95,94166,17931,8.6,19.1,21.5,38876,14601,2011
"49",1,97,412577,70467,10.1,19.7,18.6,41867,53138,2011
"50",1,99,22760,4779,15.3,28.7,18.4,31072,3266,2011
"51",1,101,232032,35967,9.1,23.2,16.5,42962,27839,2011
"52",1,103,119953,21947,8.7,16.8,18.5,43615,18181,2011
"53",1,105,10373,2418,16.4,33,19.6,22175,1489,2011
"54",1,107,19349,4663,10.7,26.5,17.6,31079,3188,2011
"55",1,109,32915,5603,7.8,25.6,20.3,32345,4332,2011
"56",1,111,22787,4981,11,22.1,18.7,34517,3627,2011
"57",1,113,54572,9643,10.1,20.1,17.7,32632,7813,2011
"58",1,115,84398,14161,8.3,17.3,15.9,48040,9442,2011
"59",1,117,197936,26604,6.3,8.1,12.1,66362,14763,2011
"60",1,119,13478,2764,14.5,39.1,17.9,23531,1846,2011
"61",1,121,81664,17205,10.3,26.2,15.7,33856,11283,2011
"62",1,123,41623,9796,11.5,18.8,15.7,37686,6730,2011
"63",1,125,197211,29956,8.2,20.2,14.9,42086,20192,2011
"64",1,127,66661,16254,9.5,22.1,16.8,35423,12443,2011
"65",1,129,17344,3599,14,18.9,18.2,39203,2566,2011
"66",1,131,11482,2860,19.3,39.9,22,20990,1809,2011
"67",1,133,24327,5522,13.4,19.8,18.1,31018,4230,2011
"68",2,1,NA,NA,NA,NA,NA,NA,NA,2011
"69",2,13,3172,134,11.1,17.8,46,51289,NA,2011
"70",2,16,5504,173,7.8,10.1,35.5,59362,NA,2011
"71",2,20,295570,27931,6.1,8.5,18.3,71237,22895,2011
"72",2,50,17416,1171,14.7,23.5,28.7,43314,710,2011
"73",2,60,1030,113,3.9,9.1,22.8,61905,583,2011
"74",2,68,1855,184,9.9,5.8,19.3,68899,NA,2011
"75",2,70,4975,413,10.2,21.3,29.9,46427,431,2011
"76",2,90,99192,8046,6.7,9.5,21.1,64396,6057,2011
"77",2,100,2554,437,8.2,11.2,28.2,51350,377,2011
"78",2,105,2112,NA,16.5,18.5,32.4,40896,NA,2011
"79",2,110,32164,3515,5.3,7.5,20.4,74219,3226,2011
"80",2,122,56293,8050,9.3,10.6,23,60360,6588,2011
"81",2,130,13593,1760,7.3,11.6,25.9,59092,1500,2011
"82",2,150,13872,1164,6.9,9.6,29.6,66935,613,2011
"83",2,158,7662,481,20.4,33.6,30.1,33206,406,2011
"84",2,164,1668,153,7.9,16.4,35.9,47612,NA,2011
"85",2,170,91946,9189,8.9,11.6,21.7,68999,6649,2011
"86",2,180,9856,696,12.3,26.4,28.8,44766,592,2011
"87",2,185,9503,431,5.4,11.5,24.1,73744,341,2011
"88",2,188,7733,490,14.7,23.9,29.2,54680,409,2011
"89",2,195,3838,NA,10.6,10.6,24.2,54434,795,2011
"90",2,198,5737,NA,15.3,17.1,32.4,42649,529,2011
"91",2,201,NA,NA,NA,NA,NA,NA,NA,2011
"92",2,220,8952,1125,6.1,8.4,25.3,61956,981,2011
"93",2,230,935,NA,14.3,4.6,25.3,61025,386,2011
"94",2,232,NA,NA,NA,NA,NA,NA,NA,2011
"95",2,240,7132,902,10.9,13.9,27.1,55617,519,2011
"96",2,261,9770,1093,9.1,9.3,24.4,63887,1053,2011
"97",2,275,2382,NA,8.6,12.3,26.7,43120,NA,2011
"98",2,280,NA,NA,NA,NA,NA,NA,NA,2011
"99",2,282,646,86,10.7,12.8,30.8,47575,NA,2011
"100",2,290,5656,680,15.7,22.1,36.3,33578,880,2011
"101",4,1,72401,9810,18.9,36.5,21.6,30837,7754,2011
"102",4,3,133289,25576,8.8,19.6,18.8,41237,21845,2011
"103",4,5,134511,14479,9.2,21.6,22.6,45051,15572,2011
"104",4,7,53144,13629,10.8,25.7,19.6,35898,11706,2011
"105",4,9,37147,4858,10.5,26,17.4,40548,4066,2011
"106",4,11,8606,1150,8.3,13.9,14.4,51145,952,2011
"107",4,12,20419,4769,10.3,24.2,26.2,30679,4163,2011
"108",4,13,3880244,508374,8.4,17.4,19.6,50785,432570,2011
"109",4,15,202351,50598,11,21.7,20.1,35998,42034,2011
"110",4,17,107398,17469,16,32.4,21.2,32425,14394,2011
"111",4,19,989569,166634,8.4,20.4,17.7,44102,146581,2011
"112",4,21,382992,53309,10.3,17.4,19.4,45170,37734,2011
"113",4,23,47676,7238,17.1,26.2,26.2,35500,6682,2011
"114",4,25,211888,58689,10,18.4,19.1,41437,47171,2011
"115",4,27,200870,27095,27.1,22.3,24.1,37894,23639,2011
"116",5,1,18892,3963,10.8,18.5,19.7,37922,3107,2011
"117",5,3,21692,4756,11.2,19.8,19.3,37170,3496,2011
"118",5,5,41536,13948,8.6,16.8,20.4,33312,11433,2011
"119",5,7,227556,32996,6.3,12.1,18.9,52644,25427,2011
"120",5,9,37051,8883,7.4,16.9,19.8,38411,7292,2011
"121",5,11,11482,2483,11.1,24.4,25.6,31118,1864,2011
"122",5,13,5144,1150,9.4,16.5,21.3,35464,712,2011
"123",5,15,27512,6265,6.3,18.7,26.2,33579,4756,2011
"124",5,17,11721,2668,11.9,33.4,21.7,27966,2071,2011
"125",5,19,22858,4187,9.5,23.1,21.1,34478,3474,2011
"126",5,21,15880,4130,13.7,20.1,21.5,32564,3211,2011
"127",5,23,25901,7165,7.9,16.2,21.6,42265,5567,2011
"128",5,25,8672,1776,7.9,16.7,19.1,41864,1260,2011
"129",5,27,24401,5040,9.4,26.4,18.6,33533,3846,2011
"130",5,29,21270,4755,8.3,23,19.5,37830,3754,2011
"131",5,31,98315,15618,7.3,20.6,19.4,39410,11962,2011
"132",5,33,61944,11528,8.5,18,20.5,37552,7985,2011
"133",5,35,50525,7816,12.6,26.6,18.3,34905,5451,2011
"134",5,37,17781,3673,8.5,19.2,20.4,35268,2716,2011
"135",5,39,8072,1800,11.1,21.5,20.3,30728,1282,2011
"136",5,41,12763,2702,11.8,27.6,20.3,30186,1977,2011
"137",5,43,18467,3338,11.7,22.6,19.8,35627,2403,2011
"138",5,45,116342,15376,7,14.7,17.2,49314,11550,2011
"139",5,47,18047,3838,7.5,20.9,19.7,38245,2817,2011
"140",5,49,12296,3232,7.4,21.4,22.6,33696,2452,2011
"141",5,51,97124,25009,8.3,20.9,23,35651,23849,2011
"142",5,53,17988,3265,7.2,11.5,16.6,46538,2361,2011
"143",5,55,42720,8393,10,17.4,18.3,37893,5753,2011
"144",5,57,22541,4109,8.5,24.7,23.7,30922,2815,2011
"145",5,59,32881,6758,7.6,20.3,19.4,38082,4745,2011
"146",5,61,13886,2859,8,20.9,24.3,33079,2284,2011
"147",5,63,36861,7724,8.8,21.4,20.9,34690,5761,2011
"148",5,65,13419,3700,9.4,20.5,22.5,31245,2830,2011
"149",5,67,17866,3833,10.6,23.9,20.5,32750,2948,2011
"150",5,69,76246,14074,10.6,24.3,16.9,37704,10612,2011
"151",5,71,25742,5008,7.2,20.8,23,34182,3431,2011
"152",5,73,7516,1749,9.9,24.2,21.7,30057,1208,2011
"153",5,75,17178,4203,9.8,23,21.1,32678,3439,2011
"154",5,77,10326,1998,11.3,35.2,19.9,27894,1414,2011
"155",5,79,14006,2224,9.4,25.4,20.3,35854,1513,2011
"156",5,81,12996,2851,7.7,17.6,18.4,38937,2167,2011
"157",5,83,22290,5156,8.4,20,20.3,34000,3833,2011
"158",5,85,69341,10271,6.8,13.7,16.5,49579,7582,2011
"159",5,87,15776,3255,6.2,22.6,23.9,34292,3052,2011
"160",5,89,16573,4847,9.4,20.5,22.2,32685,3391,2011
"161",5,91,43759,7575,7,21.5,18.7,37728,5977,2011
"162",5,93,45966,8272,11.1,25.4,19,33426,5559,2011
"163",5,95,8075,2002,9,31.6,20,27758,1499,2011
"164",5,97,9433,2392,8.3,21.9,24,31603,1708,2011
"165",5,99,9017,2067,9.2,23.5,19.3,31590,1520,2011
"166",5,101,8264,2210,7.8,21.3,23.7,31224,1460,2011
"167",5,103,25880,5861,9.4,24.1,17.7,35095,4470,2011
"168",5,105,10405,2539,8.6,16.4,19,38858,1780,2011
"169",5,107,21442,4269,11.4,34,18.3,26892,3170,2011
"170",5,109,11259,2484,9.4,20.5,24.3,30054,1875,2011
"171",5,111,24514,5473,9,25,20.3,30761,3857,2011
"172",5,113,20610,5026,8.3,22.1,24.6,31030,3935,2011
"173",5,115,62331,11093,7.6,22.1,21.1,38095,8202,2011
"174",5,117,8618,1971,8.2,21.7,21.8,36088,1469,2011
"175",5,119,386299,62947,7.2,16.6,18.3,43898,50773,2011
"176",5,121,18017,4380,10.3,23.4,20.5,33210,2992,2011
"177",5,123,27970,4638,11,32.9,19.2,28467,3754,2011
"178",5,125,109526,19836,6.5,10,16.1,54372,8124,2011
"179",5,127,11272,2556,6.9,22.3,24.4,31163,1932,2011
"180",5,129,8036,2325,8.5,28.6,25,26990,1793,2011
"181",5,131,127127,22026,8.3,21.2,23.1,38404,16039,2011
"182",5,133,17293,2686,8.3,21.7,31,30899,2060,2011
"183",5,135,17380,5665,10.3,24.5,22.4,28760,4288,2011
"184",5,137,12603,3648,10.2,22.9,24.1,29182,2554,2011
"185",5,139,41427,9279,9.7,21.5,18.6,37193,6725,2011
"186",5,141,17083,4881,9.8,22.1,22,34513,3599,2011
"187",5,143,207521,25886,6,20.1,23.3,39230,21158,2011
"188",5,145,78167,14450,8.8,18,20,42958,11712,2011
"189",5,147,7229,1734,11.6,27.3,20.7,27357,1290,2011
"190",5,149,22060,4218,6.5,19.5,27.1,33747,3284,2011
"191",6,1,1529875,194214,10.4,13.2,14.8,67295,163445,2011
"192",6,3,1102,184,15.1,17.4,17.6,46706,147,2011
"193",6,5,37953,9045,12.8,14,15.1,51553,7680,2011
"194",6,7,220266,42738,13.6,22.6,19.8,39208,33946,2011
"195",6,9,45052,10861,14.6,12.5,15.5,50599,9057,2011
"196",6,11,21549,3033,20.4,13.2,24.3,47469,2656,2011
"197",6,13,1066096,153172,10.4,11.9,13.7,74241,132807,2011
"198",6,15,28659,5170,13.4,25.4,17.3,35598,3955,2011
"199",6,17,180938,32107,11.8,10.3,13.3,61970,26576,2011
"200",6,19,942904,112620,16.5,25.8,22.4,42572,93741,2011
"201",6,21,28128,4858,15.8,19.2,23.6,40221,3785,2011
"202",6,23,134761,23591,11.3,21.1,20.4,39526,17697,2011
"203",6,25,177057,24259,29.7,26,22.8,36898,20008,2011
"204",6,27,18478,3976,9.9,12.7,20.4,44928,2699,2011
"205",6,29,851710,95872,14.9,24.6,21.9,44903,75022,2011
"206",6,31,153765,14144,16.1,21.2,21.2,48319,11250,2011
"207",6,33,64323,14868,16.7,23,20.3,35882,11061,2011
