"","st_fips","cty_fips","pop","mcare_elig","unemp","pct_pov","median_inc","mcare_enroll","year","uninsured"
"1",12,1,249365,32874,7.7,23.5,39825,28788,2011,20.4
"2",12,3,27154,3926,9.9,18.6,42564,2780,2011,17.9
"3",12,5,169856,30373,10,14.4,44204,25284,2011,21
"4",12,7,28255,4786,8.8,23.1,39271,3306,2011,20
"5",12,9,543566,122311,11.1,14.2,46494,104718,2011,20.5
"6",12,11,1780172,255947,9.2,14.9,48478,221940,2011,26
"7",12,13,14750,2518,9.5,25.9,32395,1948,2011,22.8
"8",12,15,160511,50912,10.8,13.2,41346,41156,2011,22.6
"9",12,17,140031,48166,11.9,17.3,35041,38111,2011,22.5
"10",12,19,192370,29133,9.3,10.9,54867,21432,2011,17
"11",12,21,328134,72238,10.3,16.2,51039,68035,2011,28.6
"12",12,23,67485,12780,9.7,21.7,36452,10263,2011,21.9
"13",12,27,34894,5824,9.9,31,32753,4738,2011,32.8
"14",12,29,16486,3687,12.8,25.2,30801,2660,2011,21.5
"15",12,31,870709,121947,10.6,17.7,45995,98531,2011,19.3
"16",12,33,299114,56142,10.1,18.5,41072,44753,2011,20.9
"17",12,35,97376,26245,14.1,14.7,47095,22058,2011,22.7
"18",12,37,11596,2281,7.9,22.3,35288,1840,2011,23.3
"19",12,39,46151,8357,10.3,25.2,34154,6325,2011,23.8
"20",12,41,17004,3227,9.8,19.5,38046,2598,2011,24
"21",12,43,12635,1907,10.2,22.2,38825,965,2011,32.9
"22",12,45,15844,2985,10.2,23.2,37373,2562,2011,21.5
"23",12,47,14671,2487,11.3,31.9,29482,1974,2011,20.9
"24",12,49,27887,3729,10.3,31.8,33058,3025,2011,32.6
"25",12,51,39089,4684,14.4,29.6,35247,4018,2011,35
"26",12,53,173094,48954,13.4,16.6,40411,42497,2011,22.2
"27",12,55,98630,28666,10.4,18.8,33692,25537,2011,28
"28",12,57,1267775,175916,10.5,17.6,46592,143730,2011,23.3
"29",12,59,19873,4435,8.2,26.1,33211,3253,2011,22.8
"30",12,61,138894,37816,12.6,13.9,42053,34011,2011,25
"31",12,63,49292,10108,8.1,20.5,35193,8138,2011,19.3
"32",12,65,14658,2889,8.9,18.7,40252,2304,2011,22.4
"33",12,67,8942,908,8.1,23.8,40407,730,2011,26.8
"34",12,69,301019,76655,11.2,13.9,44965,103640,2011,21.2
"35",12,71,631330,136497,11.1,15.3,45515,119852,2011,26.2
"36",12,73,277971,31368,8,22.7,44857,25763,2011,18.8
"37",12,75,40156,9657,11.3,22,33544,6890,2011,26.3
"38",12,77,8314,1174,8.3,23.5,37446,860,2011,20.5
"39",12,79,19115,3723,11.5,25.9,31578,2974,2011,22.9
"40",12,81,327142,72442,10.8,15.9,43494,57339,2011,24.5
"41",12,83,332529,92672,12.3,17.6,36425,80038,2011,24.2
"42",12,85,147495,37104,10.8,12.7,50417,34213,2011,21.8
"43",12,86,2554766,383142,11.3,20.9,40476,340128,2011,34.4
"44",12,87,73873,13100,6.4,13.8,51152,11412,2011,27.5
"45",12,89,74195,14284,9.6,11.4,54706,11772,2011,18.9
"46",12,91,183482,30673,7.4,13.7,49643,26638,2011,19.1
"47",12,93,40140,7033,11.7,26.1,33806,6433,2011,29.3
"48",12,95,1169107,134884,10.3,18.5,44635,112708,2011,24.5
"49",12,97,276163,37929,11.6,16,40933,33204,2011,26.4
"50",12,99,1335187,263061,10.8,15.8,48973,243997,2011,25.4
"51",12,101,466457,102140,12,15.7,40859,82895,2011,21
"52",12,103,917398,201071,10.5,15,42761,172133,2011,23
"53",12,105,609492,119134,11.6,19.2,40258,93793,2011,23.4
"54",12,107,74041,16819,11.9,27.9,31150,12879,2011,23.4
"55",12,109,195823,34953,8.5,9.4,63299,31390,2011,15.4
"56",12,111,280379,58481,13,20.3,41384,47391,2011,27
"57",12,113,154104,24704,9.1,11.3,53155,19946,2011,18.4
"58",12,115,382213,109439,10.7,11.7,47457,111754,2011,22.9
"59",12,117,425071,58997,9.7,11.5,54449,45457,2011,20.1
"60",12,119,97756,44870,8.5,14.5,44595,8638,2011,18.2
"61",12,121,41972,9651,9.3,24.7,34947,7637,2011,23.8
"62",12,123,22691,4161,10.9,22.7,33863,3193,2011,20.2
"63",12,125,15388,1749,8.2,25.3,40743,1318,2011,19.7
"64",12,127,494804,114994,10.8,17.4,38477,99419,2011,22.3
"65",12,129,30978,4328,8.3,14.6,50716,4249,2011,18
"66",12,131,55793,10104,7.1,14.3,44763,6868,2011,23.7
"67",12,133,24935,5008,10.9,24.3,35004,3434,2011,22.3
"68",12,1,251417,34339,6.6,26.6,41297,30233,2012,20.4
"69",12,3,27086,4063,7.8,18.8,45721,2892,2012,17
"70",12,5,171903,31841,8.3,16.5,45259,26589,2012,19.6
"71",12,7,27049,4912,7.2,23.1,38680,3435,2012,19.3
"72",12,9,547307,126864,9.2,14.8,46332,108620,2012,19.9
"73",12,11,1815137,265352,7.4,15.2,49564,229981,2012,25.9
"74",12,13,14723,2570,8.1,24,33418,1992,2012,21.5
"75",12,15,162449,52998,8.8,13.8,44454,42979,2012,22
"76",12,17,139360,49147,9.8,18.7,38937,38987,2012,21.3
"77",12,19,194345,30956,7.6,10.9,56359,22726,2012,17.2
"78",12,21,332427,75607,8.5,14.2,54475,71298,2012,27.9
"79",12,23,67966,13193,8.1,23.4,37091,10640,2012,20.7
"80",12,27,34712,6026,9.2,30.2,33602,4917,2012,31.8
"81",12,29,16126,3717,10.9,27.3,31913,2731,2012,20.3
"82",12,31,879602,127930,8.8,18,43835,103696,2012,19.3
"83",12,33,302715,58370,8.4,17.8,44539,46530,2012,19.8
"84",12,35,98359,27612,11.6,15.3,44460,23290,2012,22
"85",12,37,11686,2362,6.7,24.5,37868,1929,2012,21.4
"86",12,39,46528,8656,9.1,26.7,35854,6561,2012,23.4
"87",12,41,16815,3298,8,22,38016,2679,2012,21.5
"88",12,43,13107,2000,9.1,26.3,37004,1009,2012,31.9
"89",12,45,15718,3040,8.5,24.4,34940,2676,2012,22
"90",12,47,14708,2555,10.3,28.9,32232,2054,2012,20.6
"91",12,49,27514,3823,9.2,28.2,34012,3111,2012,29.6
"92",12,51,37447,4833,13.7,26.9,36515,4128,2012,33.1
"93",12,53,173422,50047,10.9,18.5,37093,43567,2012,21.2
"94",12,55,98128,28920,9.3,22,34722,25832,2012,26
"95",12,57,1277746,184169,8.5,19.1,46534,150630,2012,21.6
"96",12,59,19804,4529,7.1,22.9,36272,3333,2012,20.5
"97",12,61,140567,39180,10.6,16.1,42638,35320,2012,24.7
"98",12,63,48968,10369,7.1,21.4,34978,8297,2012,18.7
"99",12,65,14256,3028,7.9,21.3,38244,2411,2012,20.3
"100",12,67,8804,942,7.4,26.4,34054,764,2012,27.2
"101",12,69,303186,79743,9,15.6,41579,109755,2012,20.5
"102",12,71,645293,144273,8.9,15.3,46396,126418,2012,25.8
"103",12,73,283769,33119,7.2,21.2,46014,27551,2012,17.6
"104",12,75,40025,9979,9.5,22.7,32815,7179,2012,24
"105",12,77,8276,1213,7.2,26,37726,883,2012,20.7
"106",12,79,18907,3780,10.1,25.6,31469,3042,2012,21.8
"107",12,81,333895,76066,8.6,15.5,46999,60118,2012,23.4
"108",12,83,335125,95234,10,18.6,37287,82216,2012,24.8
"109",12,85,148817,38316,8.8,14.6,47120,35228,2012,21.8
"110",12,86,2591035,394991,9.3,20.8,41311,350541,2012,33.2
"111",12,87,74809,14032,5,14,52152,12237,2012,26.9
"112",12,89,74629,15179,7.7,13,55367,12627,2012,17.5
"113",12,91,190083,32094,6.2,13.2,52381,27889,2012,17.6
"114",12,93,39467,7251,10.2,25.7,34742,6615,2012,29.3
"115",12,95,1202234,142082,8.3,18.1,45565,118843,2012,24.4
"116",12,97,287416,40693,9.3,19.5,42743,35930,2012,24.9
"117",12,99,1356545,271316,8.8,14.5,51217,251243,2012,25.4
"118",12,101,470391,105697,9.9,13.4,42695,85722,2012,20.7
"119",12,103,921319,207400,8.5,14.1,44819,177455,2012,21.7
"120",12,105,616158,123620,9.8,18.1,41337,97110,2012,23.2
"121",12,107,73263,17074,11.2,25.7,33593,13118,2012,23.7
"122",12,109,202188,37295,6.9,9.5,62112,33991,2012,14.6
"123",12,111,283866,60870,11.1,17.5,41934,49483,2012,25
"124",12,113,158512,26028,7.7,12.3,59854,21081,2012,16.8
"125",12,115,386147,113420,8.6,12.7,48239,115983,2012,22.6
"126",12,117,430838,62275,7.8,12.6,54901,48323,2012,19.8
"127",12,119,101620,49225,7.4,13.7,47017,9948,2012,19.1
"128",12,121,43656,9894,7.7,28.1,34434,7854,2012,23.7
"129",12,123,22744,4296,9.3,24.2,36257,3324,2012,19.3
"130",12,125,15212,1820,7.3,26.2,39486,1378,2012,19.5
"131",12,127,496950,118912,8.8,19.7,40114,103047,2012,21.2
"132",12,129,30818,4523,7.1,16.1,46773,4419,2012,17.1
"133",12,131,57582,10736,5.6,18.2,40239,7365,2012,24
"134",12,133,24892,5111,9.4,22.6,36560,3502,2012,19.9
"135",12,1,253451,35957,5.4,25.7,39614,31753,2013,19.2
"136",12,3,27013,4181,6.7,18.8,46505,3012,2013,17
"137",12,5,174987,32966,6.8,18,45249,27725,2013,19.2
"138",12,7,26850,5057,5.7,21.8,40668,3518,2013,18.9
"139",12,9,550823,130989,7.9,15,46677,112108,2013,20
"140",12,11,1838844,273942,6.1,15.2,50343,237962,2013,25.8
"141",12,13,14682,2616,6.8,23.8,33977,2029,2013,20.5
"142",12,15,164736,55155,7.2,14.4,43611,44761,2013,23.3
"143",12,17,139271,50224,8.4,17.3,39285,39787,2013,21.5
"144",12,19,196399,32589,6.3,9.9,57991,23925,2013,16.8
"145",12,21,339642,78834,6.9,13.4,55584,74390,2013,29.9
"146",12,23,67543,13481,6.7,18.8,41722,10939,2013,20.4
"147",12,27,34517,6155,7.6,33.9,33198,5020,2013,37.1
"148",12,29,15940,3794,8.9,27.1,31649,2794,2013,20.6
"149",12,31,885855,133112,7.4,17.1,47876,108436,2013,19.4
"150",12,33,305817,60291,7.3,17.6,42742,48018,2013,18.6
"151",12,35,99956,28950,10.2,14.5,47872,24534,2013,22.2
"152",12,37,11598,2470,5.7,25.9,33471,2011,2013,26.4
"153",12,39,46194,8900,7.6,25.3,34348,6739,2013,22.9
